1203348,Pingo Doce,Supermarket,retail,Continente Modelo,Supermarket,retail,LoureShopping,Shopping Mall,retail,Continente,Big Box Store,retail,Strada Shopping & Fashion Outlet,Shopping Mall,retail,Continente Modelo,Supermarket,retail,Continente,Supermarket,retail,Verso em Pedra,Restaurant,dining and drinking,Lost In - Esplanada Bar,Bar,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,,,,0.4,0.4,1,,
183539,Alma Portuense,Portuguese Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Castelo de Guimarães,Castle,landmarks and outdoors,LoureShopping,Shopping Mall,retail,Cinemas NOS Alvaláxia,Movie Theater,arts and entertainment,Continente Modelo,Supermarket,retail,Pingo Doce,Supermarket,retail,E.Leclerc,Big Box Store,retail,Esplanada Marisqueira A Antiga,Seafood Restaurant,dining and drinking,Tico-Tico,Brewery,dining and drinking,,,,0,0,0.6,,
1518791,Lisboa Story Centre,History Museum,arts and entertainment,Marqu?s de Pombal,Plaza,landmarks and outdoors,Starbucks,Coffee Shop,dining and drinking,Starbucks CC Alegro,Coffee Shop,dining and drinking,Starbucks,Coffee Shop,dining and drinking,Bengal Tandoori,Indian Restaurant,dining and drinking,Museu Nacional de Arte Antiga,Art Museum,arts and entertainment,Agência de viagens Top Atlântico Madeira,General Travel,travel and transportation,Hotel Real Oeiras,Hotel,travel and transportation,Pingo Doce,Grocery Store,retail,,,,0,0,0.8,,
1032580,Forum Sintra,Shopping Mall,retail,Pingo Doce,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,,,,,,,Museu de Évora,Museum,arts and entertainment,Pestana Dom João II Beach Resort,Hotel,travel and transportation,Hotel Dom Jose,Hotel,travel and transportation,Pingo Doce,Supermarket,retail,Prio,Gas Station,business and professional services,,,,0.333333333,0.333333333,0.666666667,,
214951,Liberty American Store,Grocery Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Come Prima,Italian Restaurant,dining and drinking,Cinemas NOS Alvaláxia,Movie Theater,arts and entertainment,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Café Cervejaria Rossio,Portuguese Restaurant,dining and drinking,Login Laser Tag,Laser Tag,arts and entertainment,Pingo Doce,Supermarket,retail,Continente,Supermarket,retail,,,,0,0,1,,
651039,Starbucks,Coffee Shop,dining and drinking,Celeiro,Health Food Store,retail,Cinemas NOS Alvaláxia,Movie Theater,arts and entertainment,E.Leclerc,Big Box Store,retail,Starbucks,Coffee Shop,dining and drinking,Atlantic,Restaurant,dining and drinking,Active Media,Design Studio,business and professional services,Jupiter Algarve Hotel,Hotel,travel and transportation,Hotel Olissippo Oriente Lisboa,Hotel,travel and transportation,Lutécia Hotel,Hotel,travel and transportation,,,,0,0,0.4,,
1921840,Moustache Coffee House,Coffee Shop,dining and drinking,Aeroporto Francisco Sá Carneiro (OPO) (Aeroporto Francisco Sá Carneiro),Airport,travel and transportation,Verso em Pedra,Restaurant,dining and drinking,Cinemas NOS Parque Nascente,Movie Theater,arts and entertainment,Parque Nascente,Shopping Mall,retail,Continente Bom Dia,Grocery Store,retail,Worten,Electronics Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,Continente Modelo,Supermarket,retail,Estação Viana Shopping,Shopping Mall,retail,,,,0,0.2,0.6,,
144661,Magnetic,Lounge,dining and drinking,Norauto,Automotive Shop,retail,Come Prima,Italian Restaurant,dining and drinking,Cinemas NOS Alvaláxia,Movie Theater,arts and entertainment,Sentido do Mar,Seafood Restaurant,dining and drinking,Atlantic,Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Café Cervejaria Rossio,Portuguese Restaurant,dining and drinking,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,,,,,,,0,0,0.6,,
1728958,McDonald's,Fast Food Restaurant,dining and drinking,Entrada Norte - CP Santa Apolónia,Train Station,travel and transportation,LoureShopping,Shopping Mall,retail,Strada Shopping & Fashion Outlet,Shopping Mall,retail,The Fifties Diner,Diner,dining and drinking,Café Cervejaria Rossio,Portuguese Restaurant,dining and drinking,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Atlantic,Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,,,,,,,0.2,0.2,0.4,,
168130,daCozinha,Gastropub,dining and drinking,Forum Sintra,Shopping Mall,retail,Hotel Tivoli Palácio de Seteais,Hotel,travel and transportation,Continente,Big Box Store,retail,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Don Costini (Saldanha),Burger Joint,dining and drinking,The Fifties Diner,Diner,dining and drinking,Clube VII,Gym,sports and recreation,McDonald's,Fast Food Restaurant,dining and drinking,Construction,Gay Bar,dining and drinking,,,,0,0,0.4,,
468905,Moustache Coffee House,Coffee Shop,dining and drinking,Café Atenas,Portuguese Restaurant,dining and drinking,Alfândega do Porto,Event Space,business and professional services,BP,Gas Station,business and professional services,Mosteiro de Arouca,Art Museum,arts and entertainment,Norauto,Automotive Shop,retail,Tasquinha da Quinta,Mediterranean Restaurant,dining and drinking,Pingo Doce,Supermarket,retail,Pingo Doce,Supermarket,retail,Continente Modelo,Supermarket,retail,,,,0,0,0.4,,
1862888,Continente,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Pingo Doce,Supermarket,retail,Marqu?s de Pombal,Plaza,landmarks and outdoors,Altice Arena,Stadium,arts and entertainment,Lutécia Hotel,Hotel,travel and transportation,Churrasqueira Yao,BBQ Joint,dining and drinking,Hotel Olissippo Oriente Lisboa,Hotel,travel and transportation,Active Media,Design Studio,business and professional services,Jupiter Algarve Hotel,Hotel,travel and transportation,,,,0,0,0.2,,
180064,Pestana Palms Aparthotel,Hotel,travel and transportation,Hotel The Vine,Hotel,travel and transportation,Estalagem Ponta do Sol,Hotel,travel and transportation,Aeroporto Francisco S? Carneiro (OPO) (Aeroporto Francisco S? Carneiro),Airport,travel and transportation,,,,Triparte Estúdio,Tattoo Parlor,business and professional services,Bengal Tandoori,Indian Restaurant,dining and drinking,Museu Nacional de Arte Antiga,Art Museum,arts and entertainment,Four Views Monumental,Hotel,travel and transportation,"Pousada de Manteigas,  São Lourenço",Bed & Breakfast,travel and transportation,,,,0,0.75,1,,
183027,Holmes Place,Gym / Fitness Center,sports and recreation,Pingo Doce,Supermarket,retail,LoureShopping,Shopping Mall,retail,McDonald's,Fast Food Restaurant,dining and drinking,Strada Shopping & Fashion Outlet,Shopping Mall,retail,Continente,Supermarket,retail,Continente Modelo,Supermarket,retail,Pingo Doce,Supermarket,retail,Pingo Doce,Supermarket,retail,Santo António,Steakhouse,dining and drinking,,,,0.2,0.2,0.8,,
303123,Dim Sum Light & Fun,Dim Sum Restaurant,dining and drinking,Jazzy Life Club - S. Domingos Benfica,Gym,sports and recreation,Just For Travellers - Luxury,Cosmetics Shop,retail,AirFut,Soccer Field,sports and recreation,Pingo Doce,Supermarket,retail,Bengal Tandoori,Indian Restaurant,dining and drinking,Museu Nacional de Arte Antiga,Art Museum,arts and entertainment,Bacalhau & Afins,Portuguese Restaurant,dining and drinking,Triparte Estúdio,Tattoo Parlor,business and professional services,Verso em Pedra,Restaurant,dining and drinking,,,,0,0,0.2,,
1135410,Liberty American Store,Grocery Store,retail,Castelo de Guimarães,Castle,landmarks and outdoors,McDonald's,Fast Food Restaurant,dining and drinking,Starbucks,Coffee Shop,dining and drinking,,,,Active Media,Design Studio,business and professional services,Hotel Olissippo Oriente Lisboa,Hotel,travel and transportation,Jupiter Algarve Hotel,Hotel,travel and transportation,Churrasqueira Yao,BBQ Joint,dining and drinking,Lutécia Hotel,Hotel,travel and transportation,,,,0,0,0.5,,
2521340,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Worten,Electronics Store,retail,Continente,Big Box Store,retail,Hotel Tivoli Sintra,Hotel,travel and transportation,Feitoria,Restaurant,dining and drinking,Continente,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Lost In - Esplanada Bar,Bar,dining and drinking,Verso em Pedra,Restaurant,dining and drinking,,,,0.6,0.4,0.8,,!
154414,Pingo Doce,Supermarket,retail,Café Atenas,Portuguese Restaurant,dining and drinking,Loja das Sopas,Soup Place,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Triparte Estúdio,Tattoo Parlor,business and professional services,BP,Gas Station,business and professional services,"Pousada de Angra do Heroísmo,  São Sebastião",Bed & Breakfast,travel and transportation,Holiday Inn Express Lisbon Alfragide,Hotel,travel and transportation,Lisboa Story Centre,History Museum,arts and entertainment,,,,0,0,0,,
145875,Vila Nova Hotel,Hotel,travel and transportation,VIP Executive Art's Hotel,Hotel,travel and transportation,Tivoli Lagos Algarve Resort,Hotel,travel and transportation,Aeroporto Jo?o Paulo II (PDL),Airport,travel and transportation,Aeroporto Francisco S? Carneiro (OPO) (Aeroporto Francisco S? Carneiro),Airport,travel and transportation,Continente Bom Dia,Grocery Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,Estação Viana Shopping,Shopping Mall,retail,Continente Modelo,Supermarket,retail,Häagen-Dazs,Ice Cream Shop,dining and drinking,,,,0,0,0,,
882613,O Tascö,Portuguese Restaurant,dining and drinking,Alma Portuense,Portuguese Restaurant,dining and drinking,Aeroporto Francisco S? Carneiro (OPO) (Aeroporto Francisco S? Carneiro),Airport,travel and transportation,Cinemas NOS NorteShopping,Movie Theater,arts and entertainment,McDonald's,Fast Food Restaurant,dining and drinking,La Expo Dolce Vita,Italian Restaurant,dining and drinking,São Rafael Atlântico,Resort,travel and transportation,Hotel Real Oeiras,Hotel,travel and transportation,Pingo Doce,Grocery Store,retail,E.Leclerc,Big Box Store,retail,,,,0,0,0.8,,
151352,Cinemas NOS Colombo,Movie Theater,arts and entertainment,daCozinha,Gastropub,dining and drinking,Continente Bom Dia,Supermarket,retail,Norauto,Automotive Shop,retail,BP,Gas Station,business and professional services,Continente Modelo,Supermarket,retail,Triparte Estúdio,Tattoo Parlor,business and professional services,Aeroporto Francisco Sá Carneiro (OPO) (Aeroporto Francisco Sá Carneiro),Airport,travel and transportation,Piccadilly Bar,Cocktail Bar,dining and drinking,Continente,Supermarket,retail,,,,0,0.2,0.8,,
114971,McDonald's,Fast Food Restaurant,dining and drinking,Da Wave,Italian Restaurant,dining and drinking,Continente Modelo,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,,,,Atlantic,Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Café Cervejaria Rossio,Portuguese Restaurant,dining and drinking,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,,,,,,,0.5,0.5,0.75,,
1794474,Moustache Coffee House,Coffee Shop,dining and drinking,InterContinental Porto - Palácio das Cardosas,Hotel,travel and transportation,Spirito Cupcakes & Coffee,Cupcake Shop,dining and drinking,Continente Bom Dia,Grocery Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,La Expo Dolce Vita,Italian Restaurant,dining and drinking,Prio,Gas Station,business and professional services,Skiparque,Ski Area,sports and recreation,Pingo Doce,Supermarket,retail,E.Leclerc,Big Box Store,retail,,,,0,0,0.8,,
82872,Sala Tejo,Event Space,business and professional services,Terreiro dos Radicais - Skate Park,Skate Park,sports and recreation,McDonald's,Fast Food Restaurant,dining and drinking,Praia da Rocha,Beach,landmarks and outdoors,Esta??o Ferrovi?ria de Entrecampos,Train Station,travel and transportation,Pingo Doce,Supermarket,retail,Terrace Oeiras,Cocktail Bar,dining and drinking,Conrad Algarve,Hotel,travel and transportation,Continente Modelo,Supermarket,retail,Aeroporto Francisco Sá Carneiro (OPO) (Aeroporto Francisco Sá Carneiro),Airport,travel and transportation,,,,0,0,0.4,,
200467,Fontecruz Lisboa Hotel,Hotel,travel and transportation,Pingo Doce,Big Box Store,retail,Continente Bom Dia,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Catedral de Évora,Historic Site,landmarks and outdoors,CINCO Lounge,Lounge,dining and drinking,Hotel São Mamede,Hotel,travel and transportation,Atira-te ao rio,Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,,,,0.4,0.6,0.6,,
1520060,Alma Portuense,Portuguese Restaurant,dining and drinking,Moustache Coffee House,Coffee Shop,dining and drinking,Cinemas NOS Forum Coimbra,Movie Theater,arts and entertainment,Continente Fórum Coimbra,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Conrad Algarve,Hotel,travel and transportation,Atlantic,Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Login Laser Tag,Laser Tag,arts and entertainment,IMO - Centro de Lavagem Auto,Automotive Shop,retail,,,,0.2,0.2,1,,
514621,daCozinha,Gastropub,dining and drinking,InterContinental Porto - Palácio das Cardosas,Hotel,travel and transportation,Strada Shopping & Fashion Outlet,Shopping Mall,retail,Holmes Place Amoreiras,Gym / Fitness Center,sports and recreation,Bengal Tandoori,Indian Restaurant,dining and drinking,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Café Cervejaria Rossio,Portuguese Restaurant,dining and drinking,Atlantic,Restaurant,dining and drinking,Login Laser Tag,Laser Tag,arts and entertainment,,,,,,,0,0,0.6,,
846975,Forum Sintra,Shopping Mall,retail,E.Leclerc,Big Box Store,retail,Oeiras Parque,Shopping Mall,retail,Freeport,Outlet Mall,retail,Hard Rock Cafe Lisboa,American Restaurant,dining and drinking,Museu de Évora,Museum,arts and entertainment,Pestana Dom João II Beach Resort,Hotel,travel and transportation,Bacalhau & Afins,Portuguese Restaurant,dining and drinking,Lapa Palace,Hotel,travel and transportation,Catedral de Évora,Historic Site,landmarks and outdoors,,,,0,0,0.2,,
305628,Pingo Doce,Supermarket,retail,Estádio do Restelo,Soccer Stadium,sports and recreation,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Aeroporto Internacional da Madeira Cristiano Ronaldo (FNC) (Aeroporto Internacional da Madeira Cristiano Ronaldo),Airport,travel and transportation,Freeport,Outlet Mall,retail,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Café Cervejaria Rossio,Portuguese Restaurant,dining and drinking,Atlantic,Restaurant,dining and drinking,Conrad Algarve,Hotel,travel and transportation,,,,,,,0.2,0.4,0.6,,
217319,Glood,Grocery Store,retail,Pingo Doce,Supermarket,retail,Pingo Doce,Supermarket,retail,Continente,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Aeroporto Francisco Sá Carneiro (OPO) (Aeroporto Francisco Sá Carneiro),Airport,travel and transportation,Continente Modelo,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Continente,Supermarket,retail,Lost In - Esplanada Bar,Bar,dining and drinking,,,,0.4,0.8,1,,
548599,Liberty American Store,Grocery Store,retail,Pingo Doce,Supermarket,retail,E.Leclerc,Big Box Store,retail,Continente,Big Box Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,Pingo Doce,Supermarket,retail,Starbucks CC Alegro,Coffee Shop,dining and drinking,Silk Club,Nightclub,arts and entertainment,Esta??o Ferrovi?ria de Sete Rios,Train Station,travel and transportation,CINCO Lounge,Lounge,dining and drinking,,,,0.2,0.2,1,,
378826,Pingo Doce,Supermarket,retail,Pingo Doce,Big Box Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Praia da Rocha,Beach,landmarks and outdoors,Café Cervejaria Rossio,Portuguese Restaurant,dining and drinking,Atlantic,Restaurant,dining and drinking,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Worten,Electronics Store,retail,,,,,,,0,0,0.8,,
251476,Sushissimo Sushi & Salads,Sushi Restaurant,dining and drinking,Fitness Hut,Gym,sports and recreation,Forum Sintra,Shopping Mall,retail,Lost In - Esplanada Bar,Bar,dining and drinking,Estádio do Dragão,Soccer Stadium,sports and recreation,Triparte Estúdio,Tattoo Parlor,business and professional services,Hotel São João de Deus,Hotel,travel and transportation,Lisboa Story Centre,History Museum,arts and entertainment,Holiday Inn Express Lisbon Alfragide,Hotel,travel and transportation,"Pousada de Angra do Heroísmo,  São Sebastião",Bed & Breakfast,travel and transportation,,,,0,0,0,,
36257,Liberty American Store,Grocery Store,retail,Sala Tejo,Event Space,business and professional services,Hotel Tivoli Avenida Liberdade Lisboa,Hotel,travel and transportation,Pingo Doce,Supermarket,retail,Marqu?s de Pombal,Plaza,landmarks and outdoors,Bacalhau & Afins,Portuguese Restaurant,dining and drinking,Triparte Estúdio,Tattoo Parlor,business and professional services,Bengal Tandoori,Indian Restaurant,dining and drinking,Museu Nacional de Arte Antiga,Art Museum,arts and entertainment,,,,,,,0,0,0.2,,
774542,Four Views Monumental,Hotel,travel and transportation,Pestana Miramar,Hotel,travel and transportation,McDonald's,Fast Food Restaurant,dining and drinking,Continente Modelo,Supermarket,retail,Pestana Carlton Madeira,Hotel,travel and transportation,Conrad Algarve,Hotel,travel and transportation,Terrace Oeiras,Cocktail Bar,dining and drinking,Pingo Doce,Supermarket,retail,Login Laser Tag,Laser Tag,arts and entertainment,Continente,Supermarket,retail,,,,0,0.8,1,,
2063695,Pizzeria Novo Mundo,Pizza Place,dining and drinking,Pingo Doce,Supermarket,retail,Escola de Vela da Lagoa,Surf Spot,landmarks and outdoors,McDonald's,Fast Food Restaurant,dining and drinking,Bar 3 Às,Bar,dining and drinking,Worten,Electronics Store,retail,Häagen-Dazs,Ice Cream Shop,dining and drinking,Continente Modelo,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Estação Viana Shopping,Shopping Mall,retail,,,,0.2,0.4,0.8,,
1325629,Largo da Sé Guest House,Hotel,travel and transportation,O Palmense,Portuguese Restaurant,dining and drinking,Pingo Doce,Supermarket,retail,Parque Urbano do Jamor,Park,landmarks and outdoors,Terreiro dos Radicais - Skate Park,Skate Park,sports and recreation,Continente Bom Dia,Grocery Store,retail,Worten,Electronics Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,Estação Viana Shopping,Shopping Mall,retail,Häagen-Dazs,Ice Cream Shop,dining and drinking,,,,0,0,0.4,,
819825,Magnetic,Lounge,dining and drinking,Cinemas NOS Alvaláxia,Movie Theater,arts and entertainment,Strada Shopping & Fashion Outlet,Shopping Mall,retail,Spacio Shopping,Shopping Mall,retail,Cinemas NOS Vasco da Gama,Movie Theater,arts and entertainment,Continente Bom Dia,Grocery Store,retail,Worten,Electronics Store,retail,Estação Viana Shopping,Shopping Mall,retail,McDonald's,Fast Food Restaurant,dining and drinking,Häagen-Dazs,Ice Cream Shop,dining and drinking,,,,0,0.4,0.6,,
261135,Construction,Gay Bar,dining and drinking,Bar TR3S Lisboa,Gay Bar,dining and drinking,Hamburgueria Gourmet - Café do Rio,Burger Joint,dining and drinking,Eurotel Altura,Hotel,travel and transportation,Portug?lia,Brewery,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Atlantic,Restaurant,dining and drinking,The Wine House Hotel,Hotel,travel and transportation,Continente Modelo,Supermarket,retail,Active Media,Design Studio,business and professional services,,,,0,0.2,1,,
169513,Pingo Doce,Supermarket,retail,Forum Sintra,Shopping Mall,retail,Área de Serviço do Seixal,Rest Area,travel and transportation,Entrada Norte - CP Santa Apolónia,Train Station,travel and transportation,McDonald's,Fast Food Restaurant,dining and drinking,Museu de Évora,Museum,arts and entertainment,Pestana Dom João II Beach Resort,Hotel,travel and transportation,Jupiter Algarve Hotel,Hotel,travel and transportation,Lutécia Hotel,Hotel,travel and transportation,Hotel Olissippo Oriente Lisboa,Hotel,travel and transportation,,,,0,0,0.4,,
1948611,BP,Gas Station,business and professional services,Cozinha 16,Portuguese Restaurant,dining and drinking,Pingo Doce,Supermarket,retail,Starbucks,Coffee Shop,dining and drinking,Continente Modelo,Supermarket,retail,Pingo Doce,Supermarket,retail,Terrace Oeiras,Cocktail Bar,dining and drinking,Conrad Algarve,Hotel,travel and transportation,Atira-te ao rio,Restaurant,dining and drinking,Ilha da Madeira,Portuguese Restaurant,dining and drinking,,,,0.2,0.6,0.8,,
1644287,Cinemas NOS Forum Aveiro,Movie Theater,arts and entertainment,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Aeroporto Francisco S? Carneiro (OPO) (Aeroporto Francisco S? Carneiro),Airport,travel and transportation,Forum Aveiro,Shopping Mall,retail,Esta??o Ferrovi?ria de Sete Rios,Train Station,travel and transportation,BP,Gas Station,business and professional services,"Pousada de Angra do Heroísmo,  São Sebastião",Bed & Breakfast,travel and transportation,Holiday Inn Express Lisbon Alfragide,Hotel,travel and transportation,Lisboa Story Centre,History Museum,arts and entertainment,Hotel São João de Deus,Hotel,travel and transportation,,,,0,0,0.6,,
838260,Liberty American Store,Grocery Store,retail,Continente,Big Box Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,Pingo Doce,Convenience Store,retail,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Atlantic,Restaurant,dining and drinking,Lapa Palace,Hotel,travel and transportation,Da Wave,Italian Restaurant,dining and drinking,Quinta das Carvalhas,Vineyard,dining and drinking,Pingo Doce,Supermarket,retail,,,,0.2,0,0.8,,!
384340,Moustache Coffee House,Coffee Shop,dining and drinking,Continente Bom Dia,Supermarket,retail,Galp,Gas Station,business and professional services,McDonald's,Fast Food Restaurant,dining and drinking,Pingo Doce,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Atlantic,Restaurant,dining and drinking,Continente Modelo,Supermarket,retail,Pestana Sintra Golf   Conference & Spa Resort,Hotel,travel and transportation,Sky Bar,Roof Deck,landmarks and outdoors,,,,0.2,0.6,0.8,,
195526,Forum Sintra,Shopping Mall,retail,Pingo Doce,Supermarket,retail,Continente,Supermarket,retail,Decathlon,Sporting Goods Shop,retail,Continente,Supermarket,retail,Atlantic,Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Bacalhau & Afins,Portuguese Restaurant,dining and drinking,Triparte Estúdio,Tattoo Parlor,business and professional services,Museu Nacional de Arte Antiga,Art Museum,arts and entertainment,,,,0,0,0,,
1531430,Prio,Gas Station,business and professional services,Conforama,Furniture / Home Store,retail,Häagen-Dazs,Ice Cream Shop,dining and drinking,Pingo Doce,Supermarket,retail,Worten,Electronics Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,Alf?ndega do Porto,Event Space,business and professional services,Continente,Supermarket,retail,Continente Modelo,Supermarket,retail,Login Laser Tag,Laser Tag,arts and entertainment,,,,0,0.2,1,,
